S.NO,Title,Genre,Summary,Rating,Votes,Gross
1,Oppenheimer,Biography- Drama- History,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.,8.3,"683,172",$326.11M
2,Guardians of the Galaxy Vol. 3,Action- Adventure- Comedy,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful.",7.9,"374,957",$359.00M
3,Spider-Man: Across the Spider-Verse,Animation- Action- Adventure,"Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.",8.6,"357,767",$381.31M
4,John Wick: Chapter 4,Action- Crime- Thriller,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",7.7,"328,364",$187.13M
5,Mission: Impossible - Dead Reckoning Part One,Action- Adventure- Thriller,Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.,7.7,"240,025",$172.14M
6,Killers of the Flower Moon,Crime- Drama- History,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery.",7.6,"224,488",
7,Dungeons & Dragons: Honor Among Thieves,Action- Adventure- Comedy,"A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.",7.2,"221,194",
8,Poor Things,Comedy- Drama- Romance,"The incredible tale about the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter.",8,"184,635",
9,The Holdovers,Comedy- Drama,A cranky history teacher at a prep school is forced to remain on campus over the holidays with a grieving cook and a troubled student who has no place to go.,8,"122,688",
10,Past Lives,Drama- Romance,"Nora and Hae Sung, two deeply connected childhood friends, are wrested apart after Nora's family emigrates from South Korea. Twenty years later, they are reunited for one fateful week as they confront notions of love and destiny.",7.9,"104,505",
11,Anatomie d'une chute,Crime- Drama- Thriller,A woman is suspected of murder after her husband's death; their half-blind son faces a moral dilemma as the main witness.,7.8,"91,778",
12,The Zone of Interest,Drama- History- War,Auschwitz commandant Rudolf Höss and his wife Hedwig strive to build a dream life for their family in a house and garden beside the camp.,7.5,"58,406",
13,American Fiction,Comedy- Drama,A novelist who's fed up with the establishment profiting from Black entertainment uses a pen name to write a book that propels him into the heart of the hypocrisy and madness he claims to disdain.,7.6,"56,064",
14,Kimitachi wa dô ikiru ka,Animation- Adventure- Drama,"In the wake of his mother's death and his father's remarriage, a headstrong boy named Mahito ventures into a dreamlike world shared by both the living and the dead.",7.6,"47,177",
15,Gojira -1.0,Action- Adventure- Drama,"Post war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb.",8.3,"45,878",
16,Perfect Days,Drama,"Hirayama cleans public toilets in Tokyo, lives his life in simplicity and daily tranquility. Some encounters also lead him to reflect on himself.",7.9,"24,257",
17,Kuolleet lehdet,Comedy- Drama,"In modern-day Helsinki, two lonely souls in search of love meet by chance in a karaoke bar. However, their path to happiness is beset by obstacles - from lost phone numbers to mistaken addresses, alcoholism, and a charming stray dog.",7.4,"19,950",
18,Bastarden,Biography- Drama- History,The story of Ludvig Kahlen who pursued his lifelong dream: To make the heath bring him wealth and honor.,7.7,"13,645",
19,Kuru Otlar Üstüne,Drama,"A young teacher hopes to be transferred to Istanbul after four years of mandatory service in a remote village, but is accused of inappropriate contact by two students. After losing hope, a colleague offers him new perspectives on life.",7.9,"9,737",
20,La passion de Dodin Bouffant,Drama- History- Romance,"The story of Eugenie, an esteemed cook, and Dodin, the fine gourmet who she has been working for over the last 20 years.",7.6,"5,117",
